soft.x soft.y
32.8 34.9
12.6 10.3
27.0 35.3
21.7 27.9
12.0 11.3
24.7 16.0
15.3 24.2
37.9 43.0
38.3 39.9
19.9 19.7
14.1 23.9
41.7 47.8
33.0 25.5
37.7 23.3
47.8 58.5
35.5 40.8
21.3 16.0
38.9 25.6
48.2 42.0
15.9 24.1
35.0 30.7
25.0 38.8
29.7 25.2
29.0 17.9
14.5 16.8
43.7 31.3
36.5 42.0
28.8 22.1
48.3 52.5
26.2 21.4
28.4 32.6
37.7 32.6
34.4 23.2
51.1 41.3
20.6 13.6
21.9 30.2
11.5 15.0
26.2 30.6
27.8 16.8
38.2 37.2
16.0 11.7
17.8 30.9
32.5 33.9
28.0 35.5
22.4 21.1
23.3 15.9
22.9 18.6
16.4 21.9
25.8 18.7
19.8 30.6
