徒歩	近さ	家賃	間取り	大きさ	方角	築年数
8	B	7900	1K	30.03	南 	3
9	B	8500	1K	21.9	南 	5
10	B	10800	1K	27.05	南 	4
10	B	10800	1K	29.67	南 	4
10	B	11000	1LDK	37.04	南 	18
10	B	11500	1K	32.05	東 	4
10	B	11800	1DK	30.81	西 	7
10	B	11800	1K	32.05	東 	4
10	B	12000	1K	32.05	東 	4
10	B	12000	1DK	30.6	南 	5
10	B	12100	1DK	30.6	南 	4
10	B	12500	1DK	33.7	南 	4
10	B	12500	1LDK	30.6	南 	5
10	B	12500	1SK	31.39	南 	4
10	B	11700	1K	32.05	東 	4
10	B	11700	1DK	30.81	南西 	7
10	B	12800	1DK	33.7	南 	4
10	B	12900	1SK	31.39	南 	4
10	B	13000	1SK	30.61	南 	4
10	B	13800	1K	36.01	北西 	8
10	B	14800	1LDK	50.1	南 	8
10	B	14500	1LDK	40.57	東 	7
10	B	15200	1LDK	40.57	南東 	7
10	B	18900	1LDK	47.38	南 	4
10	B	6300	1K	20.29	南 	20
10	B	7500	1K	20.43	南西 	11
10	B	6800	1K	17.58	南東 	15
10	B	7400	1K	20.79	南西 	11
10	B	7300	1K	21.38	南 	14
10	B	8000	1K	21.3	東 	13
10	B	7900	1K	21.82	南西 	8
10	B	8200	1K	20.12	南東 	7
10	B	7800	1DK	28	南 	9
10	B	8000	1K	26.4	西 	15
10	B	8700	1K	21.3	西 	1
10	B	8500	1K	23.08	南西 	10
10	B	8800	1K	21	北西 	7
10	B	9237	1K	21.52	西 	2
10	B	8400	1K	21.3	東 	13
10	B	8700	1K	23.62	南西 	10
10	B	8700	1K	26.6	南西 	10
10	B	8500	1K	21.37	南西 	13
10	B	8900	1K	26.6	南西 	10
10	B	8700	1K	21.3	東 	13
10	B	9000	1K	21	北西 	7
10	B	9300	1K	24.3	南西 	2
11	B	13100	1DK	41.81	北西 	5
11	B	7500	1K	22.82	南 	18
11	B	7300	1K	25.92	南西 	19
12	B	11000	1DK	37.04	南 	18
12	B	12000	1DK	30.6	南 	4
12	B	12100	1DK	30.16	南 	4
12	B	7400	1K	19.52	南東 	18
12	B	6900	1K	20.44	西 	15
12	B	7500	1K	20.08	南西 	18
12	B	7700	1K	20.44	南 	15
12	B	8000	1K	21.78	東 	1
12	B	8450	1K	20.79	東 	0
12	B	8750	1K	20.79	北東 	0
12	B	10500	1K	30.13	東 	1
13	B	6500	1K	20.43	南西 	11
13	B	7500	1K	20.43	南西 	11
13	B	7200	1K	20.48	南東 	20
13	B	6300	1K	17	北 	15
13	B	7900	1K	20.72	-	10
13	B	7400	1K	18	南西 	13
13	B	8800	1K	21.13	南西 	11
14	B	7900	1K	20.72	西 	10
14	B	8100	1K	22.06	西 	10
14	B	8100	1K	20.92	西 	10
14	B	9000	1K	29.36	南東 	6
14	B	9000	1K	29.36	南東 	6
15	B	7400	1K	21.81	南西 	7
15	B	8450	1K	20.79	北東 	0
15	B	8650	1K	21	南西 	0
15	B	7400	1K	19.87	南 	2
2	A	7300	1K	18.22	南西 	15
3	A	11000	1LDK	42.5	東 	16
3	A	12200	1K	27.44	南西 	5
3	A	12200	1DK	30.98	東 	6
3	A	12100	1LDK	33.14	南 	10
3	A	8200	1K	20.12	南東 	7
4	A	11250	1K	25.56	西 	0
4	A	8300	1DK	31.7	南 	20
4	A	10050	1K	22.73	西 	0
4	A	10550	1K	25.68	西 	0
4	A	10700	1K	26.56	西 	0
4	A	10700	1K	26.56	西 	0
5	A	12200	1LDK	31.84	東 	5
5	A	12400	1K	29.09	西 	5
